ID,SMILES,Mutagenicity
NOCAS_M566,N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1,non-mutagenic
2213-00-5,COC(=O)C12CC1(C=O)C(=CC3CC(C)(C)CC23)C=O,mutagenic
535-11-5,CCOC(=O)C(C)Br,mutagenic
21362-69-6,COC1(CCCC1)OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C,non-mutagenic
92280-01-8,CCN(CCCl)CCCNc1c2CCCCc2nc3ccccc13,mutagenic
145763-35-5,C\C(=C/C(=C/C1=CCOC1=O)/C)\C=C\C=C(/C)\C(=O)C23OC2C(O)(CCO)NC3=O,mutagenic
944-22-9,CCO[P@](=S)(CC)Sc1ccccc1,non-mutagenic
5131-58-8,Nc1ccc(c(N)c1)[N+](=O)[O-],mutagenic
919-86-8,CCSCCSP(=O)(OC)OC,non-mutagenic
118-90-1,Cc1ccccc1C(=O)O,non-mutagenic
26002-80-2,CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C,mutagenic
108-86-1,Brc1ccccc1,non-mutagenic
88-53-9,Cc1cc(N)c(cc1Cl)S(=O)(=O)O,non-mutagenic
6088-51-3,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,non-mutagenic
112022-06-7,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,mutagenic
60877-79-4,Nc1snc2c(Cl)cc(Cl)cc12,mutagenic
154159-06-5,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl,non-mutagenic
602-06-2,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45,non-mutagenic
107-30-2,COCCl,non-mutagenic
59-89-2,O=NN1CCOCC1,mutagenic
2479-46-1,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,mutagenic
101-54-2,Nc1ccc(Nc2ccccc2)cc1,non-mutagenic
2849-98-1,CCCCCOC(=O)C(=C)C,non-mutagenic
65-85-0,OC(=O)c1ccccc1,non-mutagenic
5134-49-6,Nc1ncnc2c1ncn2Cc3ccc(cc3)[N+](=O)[O-],mutagenic
203-64-5,C1c2cccc3ccc4cccc1c4c23,mutagenic
321-60-8,Fc1ccccc1c2ccccc2,non-mutagenic
11097-69-1,Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl,non-mutagenic
58775-50-1,CC(=CCc1ccc(O)c2C(=O)c3c(O)c4c(OC5OC=CC45O)cc3Oc12)C,mutagenic
1222-05-5,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,non-mutagenic
50892-23-4,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,non-mutagenic
3025-77-2,Nc1ccc2ccccc2c1N=Nc3ccc(cc3)[N+](=O)[O-],mutagenic
25316-40-9,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,mutagenic
2467-03-0,Oc1ccc(Cc2ccccc2O)cc1,non-mutagenic
2517-43-3,COC(C)CCO,non-mutagenic
71708-92-4,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,mutagenic
25058-17-7,CC(C)(c1ccc(OP(O)O)cc1)c2ccc(OP(O)O)cc2,non-mutagenic
111-64-8,CCCCCCCC(=O)Cl,mutagenic
5344-87-6,CC(C)(C)C(Br)C(=O)Nc1ccccc1,non-mutagenic
138154-40-2,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4C(=O)c1c23,mutagenic
139-94-6,CCNC(=O)Nc1ncc(s1)[N+](=O)[O-],mutagenic
22897-08-1,COc1ccc(O)c2C(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3Oc12,mutagenic
71712-70-4,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,mutagenic
80-62-6,COC(=O)C(=C)C,non-mutagenic
102694-32-6,Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34,mutagenic
598-55-0,COC(=O)N,non-mutagenic
135561-93-2,Cc1cc(C)n(n1)c2[nH]nc(NN)c3c4ccccc4nc23,non-mutagenic
191861-17-3,Fc1cnc2ccc3cccnc3c2c1,mutagenic
64216-20-2,SC(NC(=O)NC(S)c1nc2ccccc2s1)c3nc4ccccc4s3,mutagenic
34331-95-8,Cc1c2ccccc2c(CBr)c3ccccc13,mutagenic
3198-41-2,Nc1cccc2cc3CCCCc3nc12,mutagenic
96-33-3,COC(=O)C=C,non-mutagenic
192705-52-5,CC(=O)Nc1c(O)cc2c3ccccc3c4cccc1c24,mutagenic
94339-56-7,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45,mutagenic
115664-59-0,Oc1ccc2c(c1)c3ccc(c4cccc2c34)[N+](=O)[O-],mutagenic
97509-29-0,OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-],non-mutagenic
5858-81-1,Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O,non-mutagenic
1733-13-7,CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C)C=C1,non-mutagenic
56986-36-8,CCCCN(COC(=O)C)N=O,mutagenic
93285-74-6,C1CCC2=C(C1)c3cc4ccccc4c5cc6ccccc6c2c35,mutagenic
22788-18-7,NP(=O)(OCCC(=O)O)N(CCCl)CCCl,mutagenic
94887-71-5,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,non-mutagenic
15980-15-1,C1CSCCO1,non-mutagenic
636-21-5,Cc1ccccc1N,mutagenic
486-25-9,O=C1c2ccccc2c3ccccc13,non-mutagenic
286-62-4,C1CCCC2OC2CC1,non-mutagenic
106589-50-8,C1Cc2c(C=C1)ccc3nc4ccc5ccccc5c4cc23,mutagenic
110004-96-1,CS(=O)(=O)Nc1ccc(Nc2c3ccc(cc3nc4ccc(cc24)N=N#N)N=N#N)cc1,non-mutagenic
154-69-8,CN(C)CCN(Cc1ccccc1)c2ccccn2,non-mutagenic
64356-85-0,C\C=C(/Cl)\C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,mutagenic
59-05-2,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O,non-mutagenic
103-69-5,CCNc1ccccc1,non-mutagenic
52411-33-3,Nc1ccccc1SCCSc2ccccc2N,mutagenic
89-73-6,ONC(=O)c1ccccc1O,mutagenic
603-85-0,Nc1c(O)cccc1[N+](=O)[O-],non-mutagenic
74518-99-3,CC(C)(C)c1ccc(\C=C\c2ccc(N)cc2)cc1,non-mutagenic
1703-58-8,OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O,mutagenic
83-32-9,C1Cc2cccc3cccc1c23,non-mutagenic
107210-40-2,CN(C)CCCNc1c2ccccc2nc3c(ccc(c13)[N+](=O)[O-])N(CCO)CCO,mutagenic
7696-62-0,CCCCOc1ccc(cc1)N=O,mutagenic
88-51-7,Cc1cc(c(N)cc1Cl)S(=O)(=O)O,mutagenic
63-75-2,COC(=O)C1=CCCN(C)C1,mutagenic
27108-42-5,CNC(=O)ON,mutagenic
79-10-7,OC(=O)C=C,non-mutagenic
141-82-2,OC(=O)CC(=O)O,non-mutagenic
110-62-3,CCCCC=O,non-mutagenic
21711-71-7,O=Nc1ccccc1c2ccccc2,mutagenic
108612-45-9,CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5nccc(O)n5,non-mutagenic
74407-29-7,CSC(C)(C)C(=O)NC(CS)C(=O)O,non-mutagenic
4685-14-7,C[n+]1ccc(cc1)c2cc[n+](C)cc2,non-mutagenic
66927-03-5,OC(CN=N#N)C(O)C(O)C(O)C=O,mutagenic
149862-56-6,CCCCCNc1snc2ccccc12,non-mutagenic
105-74-8,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,non-mutagenic
1325-37-7,Cc1ccc(cc1S(=O)(=O)O)[N+](=O)[O-],non-mutagenic
98-47-5,OS(=O)(=O)c1cccc(c1)[N+](=O)[O-],non-mutagenic
121-00-6,COc1ccc(O)c(c1)C(C)(C)C,non-mutagenic
54455-37-7,[O-][N+](=O)c1ccc2C(=O)N(CCl)C(=O)c2c1,mutagenic
21145-77-7,CC1CC(C)(C)c2cc(C(=O)C)c(C)cc2C1(C)C,non-mutagenic
24471-48-5,OCc1cc2ccc3cccc4ccc(c1)c2c34,mutagenic
145142-70-7,CCCCON(OC(=O)C)C(=O)c1ccc(cc1)c2ccccc2,mutagenic
68-23-5,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@H]1CC[C@@]2(O)C#C,non-mutagenic
91-15-6,N#Cc1ccccc1C#N,non-mutagenic
142783-37-7,CC(=O)Nc1cc(ccc1C)N=[N+]([O-])c2ccc(C)c(NC(=O)C)c2,non-mutagenic
123524-52-7,CC(C)OC(=O)C1=C(C)N=C(N)C(=C(O)OC2CN(C2)C(c3ccccc3)c4ccccc4)C1c5cccc(c5)[N+](=O)[O-],non-mutagenic
64431-93-2,C1CN=C(N1)c2ccc(cc2)c3cc4ccc(cc4[nH]3)C5=NCCN5,non-mutagenic
569-26-6,CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1,mutagenic
2499-95-8,CCCCCCOC(=O)C=C,non-mutagenic
70055-49-1,CN(C)N=Nc1ccc(cc1)C(=O)O,non-mutagenic
98-07-7,ClC(Cl)(Cl)c1ccccc1,mutagenic
10094-45-8,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC\C=C\CCCCCCCC,non-mutagenic
2880-49-1,CC1(C)OC1COc2c3OC(=O)C=Cc3cc4ccoc24,non-mutagenic
551-88-2,CCC(CC)[N+](=O)[O-],non-mutagenic
106532-63-2,CCCC(=O)\N=C\1/SN(C(=O)CCC)c2ccc(cc12)[N+](=O)[O-],mutagenic
104-85-8,Cc1ccc(cc1)C#N,non-mutagenic
120812-49-9,[O-][N+](=O)c1ccc2ccc3ccc(c4c5ccccc5c1c2c34)[N+](=O)[O-],non-mutagenic
148193-35-5,COc1nsc2cc(OCC3CO3)ccc12,mutagenic
21811-73-4,OC(=O)c1c(Cl)c(Cl)c(Cl)c2Oc3c(Br)c(O)c(Br)cc3C(=O)c12,non-mutagenic
13010-08-7,CCCCN(N=O)C(=N)N[N+](=O)[O-],mutagenic
543-67-9,CCCON=O,mutagenic
1085-98-9,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,non-mutagenic
151378-33-5,OC1C2OC2C3=C(C=CC4C3c5cccc6cccc4c56)C1O,mutagenic
117-08-8,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,non-mutagenic
7258-52-8,C1Cc2ccc3ccc4ccccc4c3c2C1,mutagenic
151-18-8,NCCC#N,non-mutagenic
84761-86-4,Clc1cccc2oc3ccccc3c12,non-mutagenic
3353-08-0,C[C@@H]1C=Cc2c1ccc3c2ccc4ccccc34,mutagenic
109-66-0,CCCCC,non-mutagenic
108-39-4,Cc1cccc(O)c1,non-mutagenic
119979-38-3,CCCC(=O)OCc1ccccc1[N+](=O)[O-],non-mutagenic
100-39-0,BrCc1ccccc1,mutagenic
120042-14-0,NC(CCN=N#N)C(=O)O,mutagenic
109143-19-3,COc1ccc2oc(cc2c1N(CCCl)CCCl)[N+](=O)[O-],mutagenic
7779-65-9,CC(C)CCOC(=O)\C=C/c1ccccc1,non-mutagenic
88-16-4,FC(F)(F)c1ccccc1Cl,non-mutagenic
1576-35-8,Cc1ccc(cc1)S(=O)(=O)NN,mutagenic
354-33-6,FC(F)C(F)(F)F,non-mutagenic
88-19-7,Cc1ccccc1S(=O)(=O)N,non-mutagenic
636-26-0,Cc1cnc(S)nc1O,non-mutagenic
97-00-7,[O-][N+](=O)c1ccc(Cl)c(c1)[N+](=O)[O-],mutagenic
193-98-6,c1cc2ccc3cncc4ccc(c1)c2c34,mutagenic
165606-93-9,ClC(=C1C(=O)NC(=O)C1(Cl)Cl)Cl,mutagenic
84-56-0,c1ccc2cc3c(ccc4cccnc34)cc2c1,mutagenic
2303-17-5,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,mutagenic
95-68-1,Cc1ccc(N)c(C)c1,mutagenic
NOCAS_M243,CN(C[C@H](O)CO)N=O,mutagenic
56341-08-3,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(c1)C(F)(F)F,non-mutagenic
118-75-2,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,mutagenic
15625-89-5,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,mutagenic
114488-79-8,CC12CCCC(C)(C1CCC34CC(O)(CCC23)C5(CO5)C4)C(=O)O,non-mutagenic
NOCAS_M25,O[C@H]1C=Cc2c(ccc3c4cccc5cccc(c23)c45)[C@@H]1O,mutagenic
125157-96-2,CC1C2C(=Nc3ccccc23)N(C)c4ccc(C)cc14,mutagenic
1615-02-7,OC(=O)\C=C\c1ccc(Cl)cc1,non-mutagenic
100-12-9,CCc1ccc(cc1)[N+](=O)[O-],non-mutagenic
628-94-4,NC(=O)CCCCC(=O)N,non-mutagenic
159092-66-7,[O-][N+](=O)c1cccc2c1ccc3cccc(c23)[N+](=O)[O-],mutagenic
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,non-mutagenic
6052-68-2,OC(=O)C1Cc2c(CN1)[nH]c3ccccc23,non-mutagenic
60254-83-3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O,non-mutagenic
115453-72-0,NC(CS\C(=C(/Cl)\C(Cl)(Cl)Cl)\Cl)C(=O)O,mutagenic
220168-55-8,[O-][N+](=O)c1ccc(cc1)C(=O)ON(OCc2ccccc2)C(=O)c3ccccc3,mutagenic
536-90-3,COc1cccc(N)c1,mutagenic
90147-31-2,CCCNC(=O)\C=C\c1oc(cc1)[N+](=O)[O-],mutagenic
4081-23-6,O=P1(Oc2ccccc2)OCc3ccccc3O1,mutagenic
2150-54-1,Cc1cc(ccc1N=Nc2c(O)c3c(O)cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)c4ccc(N=Nc5c(O)c6c(O)cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)c(C)c4,non-mutagenic
138-89-6,CN(C)c1ccc(cc1)N=O,mutagenic
7239-21-6,CN(C)N=Nc1ccc(Br)cc1,mutagenic
585-07-9,CC(=C)C(=O)OC(C)(C)C,non-mutagenic
100-41-4,CCc1ccccc1,non-mutagenic
3868-31-3,Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,non-mutagenic
2693-46-1,Nc1ccc2c3ccccc3c4cccc1c24,mutagenic
NOCAS_M387,CNCc1oc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(=O)(=O)C)cc1,non-mutagenic
17420-30-3,Nc1ccc(cc1C#N)[N+](=O)[O-],mutagenic
2687-25-4,Cc1cccc(N)c1N,mutagenic
NOCAS_M514,CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,non-mutagenic
578-66-5,Nc1cccc2cccnc12,mutagenic
5102-83-0,CC(=O)C(N=Nc1ccc(cc1Cl)c2ccc(N=NC(C(=O)C)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)C(=O)Nc4ccc(C)cc4C,non-mutagenic
111-94-4,N#CCCNCCC#N,non-mutagenic
78-84-2,CC(C)C=O,non-mutagenic
24072-75-1,Nc1nc2cc(Cl)c(Cl)cc2s1,non-mutagenic
637-69-4,COc1ccc(C=C)cc1,non-mutagenic
66734-13-2,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC12C,non-mutagenic
611-35-8,Clc1ccnc2ccccc12,mutagenic
126983-60-6,COC1=CC(=O)c2c([nH]cc3c4cnccc4nc23)C1=O,mutagenic
199536-84-0,ClCC1=C(Br)C(=O)OC1,mutagenic
27833-64-3,CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,non-mutagenic
518-34-3,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@@H]6N(C)CCc7cc(OC)c(OC)c(Oc(c1)c23)c67)ccc5OC)cc4,mutagenic
23491-44-3,CN1CCN(CC1)c2ccc3[nH]c(nc3c2)c4ccc5[nH]c(nc5c4)c6ccc(O)cc6,non-mutagenic
5908-27-0,OS(=O)(=O)C1=CC(=O)C(=O)c2ccccc12,mutagenic
92569-06-7,Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ncc(s2)[N+](=O)[O-],non-mutagenic
1758-73-2,NC(=N)S(=O)O,non-mutagenic
63017-87-8,Cc1c(ccc2ccccc12)[N+](=O)[O-],mutagenic
139259-97-5,CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c2ccccc2,mutagenic
6607-30-3,CP1(C)NP(C)(C)NP(C)(C)N1,non-mutagenic
67634-00-8,CC(C)CCOCC(=O)OCC=C,non-mutagenic
NOCAS_M498,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H]1Cl,non-mutagenic
93780-95-1,OC1C2OC2c3c(ccc4cc5ccc6ccccc6c5nc34)C1O,mutagenic
50-28-2,C[C@]12CC[C@@H]3[C@@H](CCc4cc(O)ccc34)[C@H]1CC[C@@H]2O,non-mutagenic
139-40-2,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,non-mutagenic
60-51-5,CNC(=O)CSP(=S)(OC)OC,mutagenic
54484-90-1,CC[N+]([O-])(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,mutagenic
30835-61-1,COc1cc2C(=O)CCc2c3c(C)cc4ccccc4c13,mutagenic
938-73-8,CCOc1ccccc1C(=O)N,non-mutagenic
61551-82-4,OS(=O)(=O)c1ccc2cc(Oc3ccc4cc(ccc4c3)S(=O)(=O)O)ccc2c1,non-mutagenic
934-73-6,CS(=O)c1ccc(Cl)cc1,non-mutagenic
99400-75-6,CCCCCCCC\C=C/CCCCCCCCN,mutagenic
56-18-8,NCCCNCCCN,non-mutagenic
111-41-1,NCCNCCO,mutagenic
NOCAS_M134,COC(=O)[C@]12O[C@@]1(C)[C@@](O)(NC2=O)C(C)C,mutagenic
64-67-5,CCOS(=O)(=O)OCC,mutagenic
3571-31-1,COc1cc(O)c2C(=O)c3c(O)cc(C)cc3Cc2c1,mutagenic
NOCAS_M488,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@]2(O)C#C,non-mutagenic
NOCAS_M133,Cc1ccc(OC[C@H]2CO2)cc1,mutagenic
159092-71-4,[O-][N+](=O)c1ccc2c3ccccc3cc(c2c1)[N+](=O)[O-],mutagenic
58-27-5,CC1=CC(=O)c2ccccc2C1=O,mutagenic
101-67-7,CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,non-mutagenic
89-59-8,Cc1ccc(Cl)cc1[N+](=O)[O-],non-mutagenic
59901-89-2,O=C([C@@H]1CO1)c2ccc3OCOc3c2,mutagenic
1551-44-6,CCCC(=O)OC1CCCCC1,non-mutagenic
71424-66-3,CC1Cc2c(O)c(C)c3C4C(CCC(=C)c3c2C1=O)C4(C)C,non-mutagenic
63710-09-8,CCC1(O)CC(OC2CC(C(OC3CC(O)C(O)C(C)O3)C(C)O2)N(C)C)c4c(O)c5C(=O)c6c(O)ccc(O)c6C(=O)c5cc4C1C(=O)OC,mutagenic
124-19-6,CCCCCCCCC=O,non-mutagenic
1982-67-8,CS(=N)(=O)CCC(N)C(=O)O,non-mutagenic
98499-60-6,COc1ccccc1NCSC,mutagenic
587-04-2,Clc1cccc(C=O)c1,non-mutagenic
115217-02-2,CCC1=C(C(C)c2cc(O)ccc12)c3ccc(O)cc3,non-mutagenic
26530-20-1,CCCCCCCCN1SC=CC1=O,non-mutagenic
58-95-7,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)C)c(C)c(C)c2O1,non-mutagenic
20702-77-6,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O,non-mutagenic
253-52-1,c1ccc2cnncc2c1,non-mutagenic
68041-18-9,OS(=O)(=O)OCc1c2ccccc2c3ccc4cccc5ccc1c3c45,mutagenic
1074-12-0,O=CC(=O)c1ccccc1,mutagenic
66041-61-0,Oc1ccc(cc1[N+](=O)[O-])c2ccc(O)c(c2)[N+](=O)[O-],non-mutagenic
38612-16-7,[O-][N+](=O)c1cccc(COC(=O)c2ccccc2)c1,non-mutagenic
109460-96-0,COC(=O)\C(=C\c1ccccc1Br)\C#N,non-mutagenic
5408-55-9,[O-][N+](=O)c1ccc2c(oc3ccc(cc23)[N+](=O)[O-])c1,mutagenic
35212-01-2,Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])N=[N+]([O-])c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-],mutagenic
504-78-9,C1CSCN1,mutagenic
120314-14-9,OCCc1cn(N=O)c2ccccc12,mutagenic
62783-49-7,CN(Cc1cccc(C)c1)N=O,mutagenic
126-30-7,CC(C)(CO)CO,non-mutagenic
2893-78-9,ClN1C(=O)NC(=O)N(Cl)C1=O,non-mutagenic
3695-86-1,COC(=O)\C(=C\c1occc1)\C#N,non-mutagenic
14078-41-2,COc1cc(c(O)c(c1)C(C)(C)C)c2cc(OC)cc(c2O)C(C)(C)C,non-mutagenic
150-13-0,Nc1ccc(cc1)C(=O)O,non-mutagenic
13684-63-4,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,mutagenic
140-10-3,OC(=O)\C=C\c1ccccc1,non-mutagenic
619-24-9,[O-][N+](=O)c1cccc(c1)C#N,mutagenic
55898-15-2,COc1cc2CCN(C)c3cc4cc5OCOc5cc4c(c1OC)c23,non-mutagenic
51630-58-1,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,non-mutagenic
2216-15-1,CCN(CC)c1ccc(cc1)[N+](=O)[O-],mutagenic
145142-71-8,CCCCON(OC(=O)C)C(=O)c1ccc(cc1)C(C)(C)C,mutagenic
13417-43-1,C\C=C(/C)\CCl,mutagenic
53940-49-1,COc1cc(CC2CO2)ccc1O,mutagenic
64625-66-7,Cc1c2ccccc2cc3c4C5OC5C(O)C(O)c4ccc13,mutagenic
109-86-4,COCCO,non-mutagenic
163275-58-9,Fc1cc2ccccc2c3ncccc13,mutagenic
56-49-5,Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25,mutagenic
104953-00-6,CC1(CO1)c2ccc(cc2)C#N,mutagenic
55302-96-0,Cc1ccc(NCCO)cc1O,non-mutagenic
496-14-0,C1OCc2ccccc12,mutagenic
125369-82-6,Fc1ccc(cc1)\C(=C\C=C\c2ccccc2)\C#N,mutagenic
133762-82-0,COC1=NC(=O)N(CC(O)CN=N#N)C=C1,mutagenic
19881-18-6,[O-][N+](=O)c1ccc(Oc2ccc(cc2)N=C=S)cc1,mutagenic
79-29-8,CC(C)C(C)C,non-mutagenic
215-62-3,c1ccc2nc3c4ccccc4c5ccccc5c3cc2c1,mutagenic
70-00-8,OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(C(=O)NC2=O)C(F)(F)F,mutagenic
100-61-8,CNc1ccccc1,non-mutagenic
473-90-5,OC(=O)C(=O)C(=O)O,non-mutagenic
202-98-2,C1c2cccc3ccc4c5ccccc5cc1c4c23,mutagenic
128753-90-2,CC(=O)Oc1ccc2c(OC3(C)OOC23C)c1,mutagenic
1777-84-0,CCOc1ccc(NC(=O)C)cc1[N+](=O)[O-],mutagenic
16219-75-3,C\C=C\1/C[C@H]2C[C@@H]1C=C2,non-mutagenic
