Canonical SMILES,Mutagenicity
Oc1ccc2-c3ccc(c4c3[C@@]([C@H]3c2c1C(=O)[C@@H]1O[C@H]31)(O)C=CC4=O)O,mutagenic
COC(=O)N,non-mutagenic
NNc1n[nH]c(c2-c1c1ccccc1n2)n1nc(cc1C)C,non-mutagenic
Fc1cnc2c(c1)c1ncccc1cc2,mutagenic
O=C(NC(c1nc2c(s1)cccc2)S)NC(c1nc2c(s1)cccc2)S,mutagenic
BrCc1c2ccccc2c(c2c1cccc2)C,mutagenic
Nc1cccc2c1nc1CCCCc1c2,mutagenic
COC(=O)C=C,non-mutagenic
CC(=O)Nc1c(O)cc2-c3c(-c4c2c1ccc4)cccc3,mutagenic
OC1C=Cc2c(C1)cc1c3c2ccc2c3c(cc1)ccc2,mutagenic
Oc1ccc2-c3c4c(-c2c1)ccc(c4ccc3)[N+](=O)[O-],mutagenic
OC1C=Cc2c(C1O)c([N+](=O)[O-])c1c(c2)cccc1,non-mutagenic
Cc1ccc(c(c1)S(=O)(=O)O)N=Nc1c(O)c(cc2c1cccc2)C(=O)O,non-mutagenic
CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c2ccc(cc2)N(C)C)C=C1,non-mutagenic
CCCCN(COC(=O)C)N=O,mutagenic
C1CCC2=C(C1)c1c3ccccc3cc3c1c2cc1c3cccc1,mutagenic
ClCCN(P(=O)(OCCC(=O)O)N)CCCl,mutagenic
Clc1cc(Cc2cc(O)c(c(c2)Cl)N)cc(c1N)OS(=O)(=O)O,non-mutagenic
C1COCCS1,non-mutagenic
Cc1ccccc1N,mutagenic
O=C1c2ccccc2-c2c1cccc2,non-mutagenic
C1CCCC2C(CC1)O2,non-mutagenic
C1=Cc2c(CC1)c1cc3c(nc1cc2)ccc1c3cccc1,mutagenic
N#N=Nc1ccc2c(c1)c(Nc1ccc(cc1)NS(=O)(=O)C)c1c(n2)cc(cc1)N=N#N,non-mutagenic
CN(CCN(c1ccccn1)Cc1ccccc1)C,non-mutagenic
C/C=C(/C1=CC(=O)C23C(C1=O)(O)OC(C3C2)(C)C)\Cl,mutagenic
OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,non-mutagenic
CCNc1ccccc1,non-mutagenic
Nc1ccccc1SCCSc1ccccc1N,mutagenic
ONC(=O)c1ccccc1O,mutagenic
[O-][N+](=O)c1cccc(c1N)O,non-mutagenic
Nc1ccc(cc1)/C=C/c1ccc(cc1)C(C)(C)C,non-mutagenic
OC(=O)[C@H]([C@H](C(=O)O)CC(=O)O)CC(=O)O,mutagenic
c1cc2cccc3c2c(c1)CC3,non-mutagenic
OCCN(c1ccc(c2c1nc1ccccc1c2NCCCN(C)C)[N+](=O)[O-])CCO,mutagenic
CCCCOc1ccc(cc1)N=O,mutagenic
Nc1cc(Cl)c(cc1S(=O)(=O)O)C,mutagenic
COC(=O)C1=CCCN(C1)C,mutagenic
CNC(=O)ON,mutagenic
OC(=O)C=C,non-mutagenic
OC(=O)CC(=O)O,non-mutagenic
CCCCC=O,non-mutagenic
O=Nc1ccccc1c1ccccc1,mutagenic
Fc1ccc(cc1)Cn1c(nc2c1cccc2)N1CCC(CC1)N(c1nccc(n1)O)C,non-mutagenic
SCC(C(=O)O)NC(=O)C(SC)(C)C,non-mutagenic
C[n+]1ccc(cc1)c1cc[n+](cc1)C,non-mutagenic
N#N=NCC(C(C(C(C=O)O)O)O)O,mutagenic
CCCCCNc1snc2c1cccc2,non-mutagenic
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,non-mutagenic
[O-][N+](=O)c1ccc(c(c1)S(=O)(=O)O)C,non-mutagenic
[O-][N+](=O)c1cccc(c1)S(=O)(=O)O,non-mutagenic
COc1ccc(c(c1)C(C)(C)C)O,non-mutagenic
ClCN1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-],mutagenic
CC1CC(C)(C)c2c(C1(C)C)cc(c(c2)C(=O)C)C,non-mutagenic
OCc1cc2ccc3c4c2c(c1)ccc4ccc3,mutagenic
CCCCON(C(=O)c1ccc(cc1)c1ccccc1)OC(=O)C,mutagenic
C#C[C@]1(O)CC[C@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=C1CCC(=O)C2,non-mutagenic
N#Cc1ccccc1C#N,non-mutagenic
CC(=O)Nc1cc(ccc1C)N=[N+](c1ccc(c(c1)NC(=O)C)C)[O-],non-mutagenic
CC(OC(=O)C1=C(C)N=C(C(=C(OC2CN(C2)C(c2ccccc2)c2ccccc2)O)C1c1cccc(c1)[N+](=O)[O-])N)C,non-mutagenic
C1CN=C(N1)c1ccc(cc1)c1[nH]c2c(c1)ccc(c2)C1=NCCN1,non-mutagenic
CC1CN(C)C2C(C1)c1cccc3c1c(C2)c[nH]3,mutagenic
CCCCCCOC(=O)C=C,non-mutagenic
CN(N=Nc1ccc(cc1)C(=O)O)C,non-mutagenic
ClC(c1ccccc1)(Cl)Cl,mutagenic
CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC/C=C/CCCCCCCC,non-mutagenic
O=c1ccc2c(o1)c(OCC1OC1(C)C)c1c(c2)cco1,non-mutagenic
CCC([N+](=O)[O-])CC,non-mutagenic
CCCC(=O)/N=c/1\sn(c2c1cc(cc2)[N+](=O)[O-])C(=O)CCC,mutagenic
N#Cc1ccc(cc1)C,non-mutagenic
[O-][N+](=O)c1ccc2c3c1c1ccccc1c1c3c(cc2)ccc1[N+](=O)[O-],non-mutagenic
COc1nsc2c1ccc(c2)OCC1CO1,mutagenic
Oc1c(Br)cc2c(c1Br)oc1c(c2=O)c(C(=O)O)c(c(c1Cl)Cl)Cl,non-mutagenic
[O-][N+](=O)NC(=N)N(N=O)CCCC,mutagenic
CCCON=O,mutagenic
CN(S(=O)(=O)N(c1ccccc1)SC(Cl)(Cl)F)C,non-mutagenic
OC1C2OC2C2=C(C1O)C=CC1C2c2cccc3c2c1ccc3,mutagenic
O=C1OC(=O)c2c1c(Cl)c(c(c2Cl)Cl)Cl,non-mutagenic
c1ccc2c(c1)ccc1c2c2CCCc2cc1,mutagenic
NCCC#N,non-mutagenic
Clc1cccc2c1c1ccccc1o2,non-mutagenic
C[C@@H]1C=Cc2c1ccc1c2ccc2c1cccc2,mutagenic
CCCCC,non-mutagenic
Cc1cccc(c1)O,non-mutagenic
CCCC(=O)OCc1ccccc1[N+](=O)[O-],non-mutagenic
BrCc1ccccc1,mutagenic
N#N=NCCC(C(=O)O)N,mutagenic
ClCCN(c1c(OC)ccc2c1cc(o2)[N+](=O)[O-])CCCl,mutagenic
CC(CCOC(=O)/C=C\c1ccccc1)C,non-mutagenic
Clc1ccccc1C(F)(F)F,non-mutagenic
NNS(=O)(=O)c1ccc(cc1)C,mutagenic
FC(C(F)(F)F)F,non-mutagenic
Cc1ccccc1S(=O)(=O)N,non-mutagenic
Sc1ncc(c(n1)O)C,non-mutagenic
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])Cl,mutagenic
c1cc2ccc3c4c2c(c1)ccc4cnc3,mutagenic
ClC(=C1C(=O)NC(=O)C1(Cl)Cl)Cl,mutagenic
c1ccc2c(c1)cc1c(c2)c2ncccc2cc1,mutagenic
CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,mutagenic
Cc1ccc(c(c1)C)N,mutagenic
CN(N=O)C[C@@H](CO)O,mutagenic
OC(c1cc(Cl)c(c(c1)C(F)(F)F)N)CNC(C)(C)C,non-mutagenic
ClC1=C(Cl)C(=O)C(=C(C1=O)Cl)Cl,mutagenic
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)CC,mutagenic
OC(=O)C1(C)CCCC2(C1CCC13C2CCC(C3)(C2(C1)OC2)O)C,non-mutagenic
O[C@H]1C=Cc2c([C@@H]1O)ccc1-c3c4c(-c21)cccc4ccc3,mutagenic
Cc1ccc2c(c1)C(C)C1C(=Nc3c1cccc3)N2C,mutagenic
OC(=O)/C=C/c1ccc(cc1)Cl,non-mutagenic
CCc1ccc(cc1)[N+](=O)[O-],non-mutagenic
NC(=O)CCCCC(=O)N,non-mutagenic
[O-][N+](=O)c1cccc2c1ccc1c2c(ccc1)[N+](=O)[O-],mutagenic
CCCCOC(=O)c1ccccc1C(=O)OCCCC,non-mutagenic
OC(=O)C1NCc2c(C1)c1ccccc1[nH]2,non-mutagenic
NCC(=O)NCC(=O)NC(C(=O)NC(C(=O)O)CC(C)C)Cc1ccccc1,non-mutagenic
NC(C(=O)O)CS/C(=C(/C(Cl)(Cl)Cl)\Cl)/Cl,mutagenic
O=C(c1ccc(cc1)[N+](=O)[O-])ON(C(=O)c1ccccc1)OCc1ccccc1,mutagenic
COc1cccc(c1)N,mutagenic
CCCNC(=O)/C=C/c1ccc(o1)[N+](=O)[O-],mutagenic
O=P1(OCc2c(O1)cccc2)Oc1ccccc1,mutagenic
Cc1cc(ccc1N=Nc1c(O)c2c(O)cc(cc2cc1S(=O)(=O)O)S(=O)(=O)O)c1ccc(c(c1)C)N=Nc1c(O)c2c(O)cc(cc2cc1S(=O)(=O)O)S(=O)(=O)O,non-mutagenic
O=Nc1ccc(cc1)N(C)C,mutagenic
CN(N=Nc1ccc(cc1)Br)C,mutagenic
CC(=C)C(=O)OC(C)(C)C,non-mutagenic
CCc1ccccc1,non-mutagenic
OCC1OC(C(C1O)O)n1c(O)nc2c1nc(N)nc2O,non-mutagenic
Nc1ccc2-c3c(-c4c2c1ccc4)cccc3,mutagenic
CNCc1ccc(o1)CSCCN=C(NS(=O)(=O)C)NC[C@@H](c1ccc(cc1)O)O,non-mutagenic
N#Cc1cc(ccc1N)[N+](=O)[O-],mutagenic
Nc1c(C)cccc1N,mutagenic
CCOC(=O)C[C@@H](C(=O)OCC)SP(=S)(OC)OC,non-mutagenic
Nc1cccc2c1nccc2,mutagenic
Cc1ccc(c(c1)C)NC(=O)C(C(=O)C)N=Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N=NC(C(=O)Nc1ccc(cc1C)C)C(=O)C,non-mutagenic
N#CCCNCCC#N,non-mutagenic
O=CC(C)C,non-mutagenic
Nc1sc2c(n1)cc(c(c2)Cl)Cl,non-mutagenic
COc1ccc(cc1)C=C,non-mutagenic
CCC(=O)OC1(C(C)CC2C1(C)CC(O)C1C2C(Cl)CC2=CC(=O)C=CC12C)C(=O)COC(=O)CC,non-mutagenic
Clc1ccnc2c1cccc2,mutagenic
COC1=CC(=O)c2c(C1=O)[nH]cc1-c2nc2c1cncc2,mutagenic
ClCC1=C(Br)C(=O)OC1,mutagenic
CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2,non-mutagenic
COc1cc2Oc3c4c(CCN([C@H]4Cc4ccc(c(c4)Oc4ccc(C[C@H]5c2c(c1)CCN5C)cc4)OC)C)cc(c3OC)OC,mutagenic
CN1CCN(CC1)c1ccc2c(c1)nc([nH]2)c1ccc2c(c1)nc([nH]2)c1ccc(cc1)O,non-mutagenic
O=C1C(=O)C=C(c2c1cccc2)S(=O)(=O)O,mutagenic
O=C(NS(=O)(=O)c1ccc(cc1)C)Nc1ncc(s1)[N+](=O)[O-],non-mutagenic
NC(=N)S(=O)O,non-mutagenic
[O-][N+](=O)c1ccc2c(c1C)cccc2,mutagenic
CC(=O)ON(C(=O)c1ccccc1)OCc1ccc(cc1)Br,mutagenic
CP1(C)NP(C)(C)NP(N1)(C)C,non-mutagenic
C=CCOC(=O)COCCC(C)C,non-mutagenic
Cl[C@@H]1[C@H](Cl)[C@H](Cl)[C@H]([C@H]([C@H]1Cl)Cl)Cl,non-mutagenic
OC1C(O)C2OC2c2c1ccc1c2nc2c(c1)ccc1c2cccc1,mutagenic
Oc1ccc2c(c1)CC[C@@H]1[C@H]2CC[C@]2([C@@H]1CC[C@@H]2O)C,non-mutagenic
CC(Nc1nc(NC(C)C)nc(n1)Cl)C,non-mutagenic
CNC(=O)CSP(=S)(OC)OC,mutagenic
OCc1ccc(c2c1sc1ccccc1c2=O)NCC[N+](CC)(CC)[O-],mutagenic
COc1cc2C(=O)CCc2c2c1c1ccccc1cc2C,mutagenic
CCOc1ccccc1C(=O)N,non-mutagenic
OS(=O)(=O)c1ccc2c(c1)ccc(c2)Oc1ccc2c(c1)ccc(c2)S(=O)(=O)O,non-mutagenic
Clc1ccc(cc1)S(=O)C,non-mutagenic
CCCCCCCC/C=C\CCCCCCCCN,mutagenic
NCCCNCCCN,non-mutagenic
NCCNCCO,mutagenic
COC(=O)[C@@]12O[C@@]2(C)[C@](NC1=O)(O)C(C)C,mutagenic
CCOS(=O)(=O)OCC,mutagenic
COc1cc2Cc3cc(C)cc(c3C(=O)c2c(c1)O)O,mutagenic
C#C[C@@]1(O)CC[C@@H]2[C@]1(CC)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@H]12,non-mutagenic
Cc1ccc(cc1)OC[C@@H]1OC1,mutagenic
[O-][N+](=O)c1cc2ccccc2c2c1cc(cc2)[N+](=O)[O-],mutagenic
O=C1C=C(C)C(=O)c2c1cccc2,mutagenic
CCCCCCCCc1ccc(cc1)Nc1ccc(cc1)CCCCCCCC,non-mutagenic
Clc1ccc(c(c1)[N+](=O)[O-])C,non-mutagenic
O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1,mutagenic
CCCC(=O)OC1CCCCC1,non-mutagenic
CC1Cc2c(C1=O)c1C(=C)CCC3C(c1c(c2O)C)C3(C)C,non-mutagenic
COC(=O)C1c2cc3c(c(c2C(CC1(O)CC)OC1OC(C)C(C(C1)N(C)C)OC1CC(O)C(C(O1)C)O)O)C(=O)c1c(C3=O)c(O)ccc1O,mutagenic
CCCCCCCCC=O,non-mutagenic
OC(=O)C(CCS(=O)(=N)C)N,non-mutagenic
CSCNc1ccccc1OC,mutagenic
O=Cc1cccc(c1)Cl,non-mutagenic
CCC1=C(c2ccc(cc2)O)C(c2c1ccc(c2)O)C,non-mutagenic
CCCCCCCCn1sccc1=O,non-mutagenic
CC(CCCC1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCCC(CCCC(C)C)C,non-mutagenic
OC[C@H]1O[C@@H](Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,non-mutagenic
c1ccc2c(c1)cnnc2,non-mutagenic
OS(=O)(=O)OCc1c2ccccc2c2c3c1ccc1c3c(cc2)ccc1,mutagenic
O=CC(=O)c1ccccc1,mutagenic
[O-][N+](=O)c1cc(ccc1O)c1ccc(c(c1)[N+](=O)[O-])O,non-mutagenic
O=C(c1ccccc1)OCc1cccc(c1)[N+](=O)[O-],non-mutagenic
N#C/C(=C\c1ccccc1Br)/C(=O)OC,non-mutagenic
[O-][N+](=O)c1ccc2c(c1)oc1c2cc(cc1)[N+](=O)[O-],mutagenic
[O-][N+](=O)c1cc(N=[N+](c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])[O-])c(c(c1)[N+](=O)[O-])C,mutagenic
C1NCCS1,mutagenic
OCCc1cn(c2c1cccc2)N=O,mutagenic
O=NN(Cc1cccc(c1)C)C,mutagenic
OCC(CO)(C)C,non-mutagenic
O=c1n(Cl)c(=O)[nH]c(=O)n1Cl,non-mutagenic
N#C/C(=C\c1ccco1)/C(=O)OC,non-mutagenic
COc1cc(c(c(c1)c1cc(OC)cc(c1O)C(C)(C)C)O)C(C)(C)C,non-mutagenic
OC(=O)c1ccc(cc1)N,non-mutagenic
COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,mutagenic
OC(=O)/C=C/c1ccccc1,non-mutagenic
N#Cc1cccc(c1)[N+](=O)[O-],mutagenic
COc1c(OC)cc2c3c1c1cc4OCOc4cc1cc3N(CC2)C,non-mutagenic
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,non-mutagenic
CCN(c1ccc(cc1)[N+](=O)[O-])CC,mutagenic
CCCCON(C(=O)c1ccc(cc1)C(C)(C)C)OC(=O)C,mutagenic
C/C(=C\C)/CCl,mutagenic
COc1cc(ccc1O)CC1CO1,mutagenic
OC1C2OC2c2c(C1O)ccc1c2cc2ccccc2c1C,mutagenic
COCCO,non-mutagenic
Fc1cc2ccccc2c2c1cccn2,mutagenic
Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,mutagenic
N#Cc1ccc(cc1)C1(C)OC1,mutagenic
OCCNc1ccc(c(c1)O)C,non-mutagenic
O1Cc2c(C1)cccc2,mutagenic
N#C/C(=C\C=C\c1ccccc1)/c1ccc(cc1)F,mutagenic
COc1ccn(c(=O)n1)CC(CN=N#N)O,mutagenic
S=C=Nc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-],mutagenic
CC(C(C)C)C,non-mutagenic
c1ccc2c(c1)nc1c(c2)c2ccccc2c2c1cccc2,mutagenic
OC[C@H]1O[C@H](C[C@@H]1O)n1cc(c(=O)[nH]c1=O)C(F)(F)F,mutagenic
CNc1ccccc1,non-mutagenic
O=C(C(=O)O)C(=O)O,non-mutagenic
c1ccc2c(c1)c1ccc3c4c1c(c2)Cc4ccc3,mutagenic
CC(=O)Oc1ccc2c(c1)OC1(C2(C)OO1)C,mutagenic
CCOc1ccc(cc1[N+](=O)[O-])NC(=O)C,mutagenic
C/C=C/1\C[C@H]2C[C@@H]1C=C2,non-mutagenic
[O-][N+](=O)c1ccc2c3c1ccc1c3c(cc2)c2c(c1)C=CCC2,mutagenic
Nc1ncnc2c1nc(n2c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],mutagenic
ON=C1CCCCC1,mutagenic
COC1=CC(=O)c2c(C1=O)[nH]cc1-c2nc2c1cccc2,mutagenic
NC(=N)NNc1ccc(cc1)N=NC(=S)N,mutagenic
CCc1c2ccc3c(c2cc2c1cccc2)cccc3,mutagenic
Cc1cnc2c(n1)ccc1c2nc(n1C)N,mutagenic
BrC(=C)C=O,mutagenic
[O-][N+](=O)c1ccnc2c1cccc2,mutagenic
Nc1nc2c(n1C)cc1c(n2)nccc1,non-mutagenic
OC1C=CC2C34C1Oc1c4c(CC2N(CC3)C)ccc1O,non-mutagenic
Oc1ccc2c(c1)c1c(cc2)[nH]c2c1c1ccccc1cc2,mutagenic
CCCCCCCCCCO,non-mutagenic
[O-][N+](=O)c1cc(ccc1c1ccccc1[N+](=O)[O-])[N+](=O)[O-],mutagenic
Cc1cccc(c1)C(=O)Cl,mutagenic
ClCCc1cn(C2CC(C(O2)CO)O)c(=O)[nH]c1=O,mutagenic
Nc1cccc2c1snc2,mutagenic
COc1c2ccccc2[n+](c2c1cco2)[O-],non-mutagenic
COc1cc2O[C@H]3[C@H](c2c2c1c(=O)c1c(o2)cccc1O)C=CO3,mutagenic
CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCC)(C)C,non-mutagenic
OCC1OC(OC2C(O)CC3(C(C2(C)C(=O)O)CCC2(C3CC=C3C2(C)CCC2(C3CC(C)(C)CC2)C(=O)O)C)C)C(C(C1O)O)O,non-mutagenic
O=C(Nc1ccc(cc1)Cl)CCC(=O)O,non-mutagenic
OC(c1ccc(cc1)CCc1ccccc1)Cn1cncc1,non-mutagenic
CCCCOP(=O)(OCCCC)OCCCC,non-mutagenic
COC(=O)/C(=C/c1ccc(o1)Br)/C#N,non-mutagenic
OCC(C(C(=O)NCCC(=O)O)O)(C)C,non-mutagenic
ClCc1ccc2c3c1ccc1c3c(cc2)ccc1,mutagenic
O[C@@H]1C=Cc2c([C@H]1O)cc1c3c2ccc2c3c(cc1)c(cc2)[N+](=O)[O-],mutagenic
c1ccc2c(c1)nccn2,mutagenic
N#CC1=Cc2c3c1cccc3ccc2,mutagenic
CN1CCc2c3C1Cc1ccccc1-c3c1c(c2)OCO1,mutagenic
C=C1CCC2CC1C2(C)C,non-mutagenic
NC(=N)NS(=O)(=O)c1ccc(cc1)N,non-mutagenic
CN(c1ccc(cc1)N=Nc1ccc(cc1)N(C)C)C,non-mutagenic
CC(CCCC(C1CCC2C1(C)CCC1C2CC2C3(C1(C)CCC(C3)O)O2)C)C,mutagenic
Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])c1ccccc1,mutagenic
OCCBr,mutagenic
OOC1C=C2CC(O)CCC2(C2C1C1CCC(C1(C)CC2)C(CCCC(C)C)C)C,mutagenic
CN(c1ccc(nn1)NN)C[C@H](O)C,mutagenic
Oc1ccc(cc1)c1ccccc1,mutagenic
CC(=O)/C=C\C1=C(C)CCCC1(C)C,non-mutagenic
COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@@H]1O[C@@H](C)[C@@H]([C@H](C1)N(C)C)O)C[C@](C2)(O)C(=O)C,mutagenic
COc1cc(ccc1N)[N+](=O)[O-],mutagenic
C/C=C\1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([C@H]2[C@H](OC1=O)CC3)[O-],non-mutagenic
COC1(NC(=O)CSCC(C(=O)O)N)C(=O)N2C1SCC(=C2C(=O)O)CSc1nnnn1C,non-mutagenic
O/N=C/C1N(CCCN(C)C)C=CN1C,non-mutagenic
