CAS-RN,SMILES,-log[LC50_mmol/L]
40596-69-8,COC(CCCC(C/C=C/C(=C/C(=O)OC(C)C)/C)C)(C)C,2.4749999999999996
70630-17-0,COCC(=O)N(c1c(C)cccc1C)C(C(=O)OC)C,0.536
51218-45-2,COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,1.3390000000000004
107-98-2,COCC(O)C,-2.41
108-65-6,COCC(OC(=O)C)C,-0.4889999999999999
20324-32-7,COCC(OCC(O)C)C,-1.112
52-68-6,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,4.699
30560-19-1,COP(=O)(NC(=O)C)SC,1.1070000000000002
10265-92-6,COP(=O)(SC)N,3.6180000000000003
122-14-5,COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,4.671
298-00-0,COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,4.341
86-50-0,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,4.858
1825-21-4,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,4.012
2539-17-5,COc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,3.176
57057-83-7,COc1c(O)cc(c(c1Cl)Cl)Cl,2.527
83-66-9,COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-],2.636
2668-24-8,COc1cc(Cl)c(c(c1O)Cl)Cl,2.372
104-94-9,COc1ccc(cc1)N,2.5709999999999997
19937-59-8,COc1ccc(cc1Cl)NC(=O)N(C)C,0.1549999999999998
73590-58-6,COc1ccc2c(c1)nc([nH]2)S(=O)Cc1ncc(c(c1C)OC)C,0.5939999999999999
536-90-3,COc1cccc(c1)N,2.6420000000000003
150-19-6,COc1cccc(c1)O,0.48
100-66-3,COc1ccccc1,0.432
90-04-0,COc1ccccc1N,1.0110000000000001
90-05-1,COc1ccccc1O,0.6800000000000002
72956-09-3,COc1ccccc1OCCNCC(COc1cccc2c1c1ccccc1[nH]2)O,2.1319999999999997
55-38-9,CSc1ccc(cc1C)OP(=S)(OC)OC,3.79
28159-98-0,CSc1nc(NC2CC2)nc(n1)NC(C)(C)C,1.4850000000000003
30125-65-6,CSc1nc(nc(n1)N)NC(C)(C)C,1.2880000000000003
95-93-2,Cc1cc(C)c(cc1C)C,2.45
95-36-3,Cc1ccc(c(c1)C)C,1.5300000000000002
105-67-9,Cc1ccc(c(c1)C)O,1.7649999999999997
106-42-3,Cc1ccc(cc1)C,0.524
134308-13-7,Cc1ccc(cc1)C(=O)c1cc(O)c(c(c1)[N+](=O)[O-])O,1.1399999999999997
99-87-6,Cc1ccc(cc1)C(C)C,1.3170000000000002
106-43-4,Cc1ccc(cc1)Cl,1.9329999999999998
106-44-5,Cc1ccc(cc1)O,0.71
877-43-0,Cc1ccc2c(c1)ccc(n2)C,0.6179999999999999
91-57-6,Cc1ccc2c(c1)cccc2,1.9800000000000004
14315-14-1,Cc1ccc2c(c1)ccs2,1.0250000000000004
108-38-3,Cc1cccc(c1)C,0.653
108-44-1,Cc1cccc(c1)N,2.168
108-39-4,Cc1cccc(c1)O,0.7599999999999998
99-08-1,Cc1cccc(c1)[N+](=O)[O-],1.04
90-12-0,Cc1cccc2c1cccc2,2.0010000000000003
95-47-6,Cc1ccccc1C,0.7909999999999999
95-48-7,Cc1ccccc1O,0.863
3056-17-5,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,-0.641
1455-18-1,Cc1csc2c1cccc2,1.7560000000000002
127-18-4,ClC(=C(Cl)Cl)Cl,1.0019999999999998
75-35-4,ClC(=C)Cl,0.27999999999999975
52645-53-1,ClC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)Cl,5.067
3282-30-2,ClC(=O)C(C)(C)C,-0.42399999999999993
67-72-1,ClC(C(Cl)(Cl)Cl)(Cl)Cl,1.9269999999999996
76-01-7,ClC(C(Cl)(Cl)Cl)Cl,1.186
79-34-5,ClC(C(Cl)Cl)Cl,0.45999999999999996
306-83-2,ClC(C(F)(F)F)Cl,0.9540000000000002
50-29-3,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,5.271000000000001
56-23-5,ClC(Cl)(Cl)Cl,0.6429999999999998
67-66-3,ClC(Cl)Cl,0.254
77-47-4,ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,3.7199999999999998
60-57-1,ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,3.508
1031-07-8,ClC1=C(Cl)C2(C(C1(Cl)C1C2COS(=O)(=O)OC1)(Cl)Cl)Cl,2.3
1024-57-3,ClC1C2OC2C2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,3.21
76-44-8,ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,3.777
12789-03-6,ClC1CC2C(C1Cl)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,3.623
79-01-6,ClC=C(Cl)Cl,0.4849999999999998
156-60-5,ClC=CCl,-0.3580000000000001
96-18-4,ClCC(CCl)Cl,0.6549999999999998
630-20-6,ClCC(Cl)(Cl)Cl,0.8420000000000001
78-87-5,ClCC(Cl)C,0.3389999999999999
106-89-8,ClCC1CO1,0.5870000000000002
542-75-6,ClCC=CCl,1.322
107-06-2,ClCCCl,-0.5099999999999998
111-91-1,ClCCOCOCCCl,-0.06300000000000017
16672-87-0,ClCCP(=O)(O)O,0.04400000000000002
634-66-2,Clc1c(Cl)ccc(c1Cl)Cl,2.5999999999999996
87-61-6 ,Clc1c(Cl)cccc1Cl,1.75
87-86-5,Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,2.5599999999999996
18259-05-7,Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,4.61
38380-07-3,Clc1c(ccc(c1Cl)Cl)c1ccc(c(c1Cl)Cl)Cl,5.779999999999999
1570-65-6,Clc1cc(C)c(c(c1)Cl)O,2.6319999999999997
634-90-2,Clc1cc(Cl)c(c(c1)Cl)Cl,1.8739999999999997
88-06-2,Clc1cc(Cl)c(c(c1)Cl)O,1.495
608-93-5,Clc1cc(Cl)c(c(c1Cl)Cl)Cl,1.6740000000000004
636-30-6,Clc1cc(Cl)c(cc1N)Cl,1.7610000000000001
95-95-4,Clc1cc(Cl)c(cc1O)Cl,1.8639999999999999
35065-27-1,Clc1cc(Cl)c(cc1c1cc(Cl)c(cc1Cl)Cl)Cl,5.4399999999999995
15862-07-4,Clc1cc(Cl)c(cc1c1ccccc1)Cl,2.6399999999999997
1836-77-7,Clc1cc(Cl)cc(c1Oc1ccc(cc1)[N+](=O)[O-])Cl,2.878
618-62-2,Clc1cc(cc(c1)Cl)[N+](=O)[O-],1.4340000000000002
50594-66-6,Clc1cc(ccc1Oc1ccc(c(c1)C(=O)O)[N+](=O)[O-])C(F)(F)F,1.2569999999999997
1570-64-5,Clc1ccc(c(c1)C)O,2.691
95-73-8,Clc1ccc(c(c1)Cl)C,2.42
112281-77-3,Clc1ccc(c(c1)Cl)C(Cn1cncn1)COC(C(F)F)(F)F,1.713
120-82-1,Clc1ccc(c(c1)Cl)Cl,1.83
554-00-7,Clc1ccc(c(c1)Cl)N,2.4299999999999997
120-83-2,Clc1ccc(c(c1)Cl)O,1.7969999999999997
611-06-3,Clc1ccc(c(c1)Cl)[N+](=O)[O-],1.6600000000000001
2437-79-8,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,3.989
95-82-9,Clc1ccc(c(c1)N)Cl,1.742
3380-34-5,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl,3.109
89-59-8,Clc1ccc(c(c1)[N+](=O)[O-])C,1.2679999999999998
25875-51-8,Clc1ccc(cc1)/C=N/N/C(=N/N=C/c1ccc(cc1)Cl)/N,3.6500000000000004
106-46-7,Clc1ccc(cc1)Cl,1.138
1982-47-4,Clc1ccc(cc1)Oc1ccc(cc1)NC(=O)N(C)C,1.992
116-29-0,Clc1ccc(cc1)S(=O)(=O)c1cc(Cl)c(cc1Cl)Cl,1.7110000000000003
100-00-5,Clc1ccc(cc1)[N+](=O)[O-],1.3099999999999996
7012-37-5,Clc1ccc(cc1)c1ccc(cc1Cl)Cl,3.2089999999999996
2051-62-9,Clc1ccc(cc1)c1ccccc1,2.6260000000000003
32598-13-3,Clc1ccc(cc1Cl)c1ccc(c(c1)Cl)Cl,5.16
35693-99-3,Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,3.99
59467-70-8,Clc1ccc2c(c1)C(=NCc1n2c(C)nc1)c1ccccc1F,3.2119999999999997
91-58-7,Clc1ccc2c(c1)cccc2,2.5
541-73-1,Clc1cccc(c1)Cl,1.3040000000000003
121-73-3,Clc1cccc(c1)[N+](=O)[O-],0.8399999999999999
2051-61-8,Clc1cccc(c1)c1ccccc1,2.641
90-13-1,Clc1cccc2c1cccc2,2.0090000000000003
108-90-7,Clc1ccccc1,0.9180000000000001
95-50-1,Clc1ccccc1Cl,1.787
58-55-9,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.42799999999999994
59756-60-4,CN1C=C(c2ccccc2)C(=O)C(=C1)c1cccc(c1)C(F)(F)F,1.9000000000000004
58-08-2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.028000000000000018
811-97-2,FCC(F)(F)F,-0.9820000000000002
51-21-8,C1=C(C(=O)NC(=O)N1)F,0.7160000000000002
85721-33-1,OC(=O)C1=CN(C2CC2)c2cc(N3CCNCC3)c(F)cc2C1=O,0.742
133855-98-8,Fc1ccc(cc1)C1(Cn2cncn2)OC1c1ccccc1Cl,1.5789999999999997
61869-08-7,Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,2.7539999999999996
106266-06-2,CC1=C(CCN2CCC(CC2)c2noc3cc(F)ccc23)C(=O)N2CCCCC2=N1,1.835
66230-04-4,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,5.582000000000001
91465-08-6,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)/C=C(/C(F)(F)F)\Cl,5.678000000000001
66841-25-6,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C(C(Br)(Br)Br)Br,6.945
67375-30-8,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,6.063000000000001
51481-61-9,N#CN/C(=N\C)/NCCSCc1[nH]cnc1C,-0.467
115-31-1,N#CSCC(=O)OC1CC2C(C1(C)CC2)(C)C,3.4749999999999996
6317-18-6,N#CSCSC#N,3.2510000000000003
68359-37-5,N#CC(c1ccc(c(c1)Oc1ccccc1)F)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,6.132999999999999
52918-63-5,N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Br)Br,7.047000000000001
59729-33-8,N#Cc1ccc2c(c1)COC2(CCCN(C)C)c1ccc(cc1)F,1.92
14080-23-0,N#Cc1ncccn1,0.33999999999999986
76824-35-6,NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,-0.07200000000000002
79-06-1,NC(=O)C=C,-0.351
127779-20-8,NC(=O)CC(C(=O)NC(C(CN1CC2CCCCC2CC1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,1.2699999999999996
298-46-4,NC(=O)N1c2ccccc2C=Cc2c1cccc2,1.234
2008-58-4,NC(=O)c1c(Cl)cccc1Cl,-0.6520000000000001
62-56-6,NC(=S)N,0.8839999999999999
103-85-5,NC(=S)Nc1ccccc1,0.476
107-11-9,NCC=C,0.13300000000000006
107-15-3,NCCN,0.3580000000000001
54-85-3,NNC(=O)c1ccncc1,0.7749999999999999
626-43-7,Nc1cc(Cl)cc(c1)Cl,2.16
634-67-3,Nc1ccc(c(c1Cl)Cl)Cl,2.4299999999999997
106-47-8,Nc1ccc(cc1)Cl,3.409
108-45-2,Nc1cccc(c1)N,1.263
62-53-3,Nc1ccccc1,2.3710000000000004
7481-89-2,C1CC(OC1CO)N2C=CC(=NC2=O)N,-0.9279999999999999
396-01-0,Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,1.404
75-21-8,O1CC1,-0.6680000000000001
96-09-3,O1CC1c1ccccc1,1.0179999999999998
13311-84-7,O=C(C(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],2.301
82657-04-3,O=C(C1C(C1(C)C)C=C(C(F)(F)F)Cl)OCc1cccc(c1C)c1ccccc1,5.112
35367-38-5,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(cc1)Cl,4.802
101-20-2,O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,4.478
143-50-0,O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,3.394
935-92-2,O=C1C=C(C)C(=O)C(=C1C)C,2.0010000000000003
58-27-5,O=C1C=C(C)C(=O)c2c1cccc2,2.545
98319-26-7,O=C1C=CC2(C(N1)CCC1C2CCC2(C1CCC2C(=O)NC(C)(C)C)C)C,1.2489999999999997
58-22-0,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,2.17
503-87-7,O=C1CNC(=S)N1,0.7690000000000001
67-20-9,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],0.508
120-93-4,O=C1NCCN1,-1.812
71-63-6,O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,0.8839999999999999
20830-75-5,O=C1OCC(=C1)C1CCC2(C1(C)C(O)CC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,1.5659999999999998
111-30-8,O=CCCCC=O,0.7879999999999998
68-12-2,O=CN(C)C,-2.296
2144-08-3,O=Cc1ccc(c(c1O)O)O,0.669
100-52-7,O=Cc1ccccc1,0.976
88-75-5,O=N(=O)c1ccccc1O,1.024
86-30-6,O=NN(c1ccccc1)c1ccccc1,1.4029999999999996
115-86-6,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.5119999999999996
103577-45-3,O=S(c1nc2c([nH]1)cccc2)Cc1nccc(c1C)OCC(F)(F)F,1.2249999999999996
825-44-5,O=S1(=O)C=Cc2c1cccc2,1.072
